query,top tables,target table,target answer
what was the outcome of the bolshevik revolution,Russian Revolution_1A75B355F3E816C0,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Russian Revolution_9330A5D28B0D1F2E,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,October Revolution_300BBE8E4A4FFF91,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Russian Revolution_7DA4DAE6217422DD,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Russian Civil War_7DA4DAE6217422DD,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Nicholas II of Russia_C9F0D99F2EC525CE,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,October Revolution_3E8603485937295F,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Pyotr Wrangel_7A233DFDD52EEEB1,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,Russian Provisional Government_3E8603485937295F,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
what was the outcome of the bolshevik revolution,July Revolution_4B2305A538CA2D33,October Revolution_300BBE8E4A4FFF91,"End of Russian Provisional Government, Russian Republic and dual power; Creation of Soviet Russia; The Second All-Russian Congress of Soviets becomes the supreme governing body; Beginning of the Russian Civil War"
