query,top tables,target table,target answer
who founded the women's social and political union,Indian National Congress_36D4A5AA3B19F977,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,UNICEF_62E77FD260D861F7,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Indian National Congress_2579BE8B6FEE88AE,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Women's Social and Political Union_9B6E4DE82B69520,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,List of political parties in Australia_B9FA67D1875A1377,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,United Russia_7833D4DAF7A40944,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Women's suffrage in the United States_61E9548D0C1CE87,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,London School of Economics_B1750E9634F965F2,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Michigan Wolverines football_36DF2A191433DDC,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Syrian Civil War_A08348ECFE27CE99,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Michigan Wolverines men's basketball_36DF2A191433DDC,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Michigan Stadium_F94476B133CECD82,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Casualties of the Syrian Civil War_C9EE3D708C31FF72,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,United Nations Economic and Social Council_EABB2219CA68BE39,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,International Labour Organization_1D97D983545E148F,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,University of Michigan School of Public Health_BAAA0327CCF08D78,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Women's suffrage in the United States_D00C9C3CC6FA0546,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Civil Rights Act of 1964_61E9548D0C1CE87,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Khan Shaykhun chemical attack_A82340BD07B5778B,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,UNESCO_B34F92E46C6D776F,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,UNICEF_B34F92E46C6D776F,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Republican Party (United States)_9870B94CC6185327,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,World Health Organization_B34F92E46C6D776F,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,"French presidential election, 2017_DA8D25491D664497",Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,United Nations Economic and Social Council_3922A378EFCD3B4,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Republican Party (United States)_39BB412075FF18E8,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,List of political parties in Australia_F50DB7D7FEA1FEB3,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Republican Party (United States)_52CA4D447AA4AAB5,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Michigan Wolverines football_451DFF18FA5CC35A,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Social Democratic Party of Germany_B68912C0ED215FEF,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Permanent members of the United Nations Security Council_3FB998DBB0AC95A5,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Equal Rights Amendment_64BCA3FA3AD6053E,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,United States ten-dollar bill_F29B20BA95CFAE64,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,History of the United Nations_3922A378EFCD3B4,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Secretary-General of the United Nations_79AC1EDAFE876440,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,List of members of the United Nations Security Council_CC3630B1D5608A52,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Official languages of the United Nations_18F186A1D7AED66F,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Flag of the United Nations_2D170E7069598F64,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Civil Rights Act of 1964_F29B20BA95CFAE64,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Headquarters of the United Nations_F7B59613011DCD5C,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,List of members of the United Nations Security Council_582E868938B5ACB0,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Headquarters of the United Nations_AD5C1E3BEA3F9ABF,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,United Nations_7FA808A5E8E0D08,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Official languages of the United Nations_B197CF5CFEAA9C0E,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Permanent members of the United Nations Security Council_3922A378EFCD3B4,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Headquarters of the United Nations_9E2E39672B27779,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,United Nations_18F186A1D7AED66F,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Member states of the United Nations_AD5C1E3BEA3F9ABF,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,League of Nations_DD22B6F6B43C7B6,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,President of the United Nations General Assembly_AD5C1E3BEA3F9ABF,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,President of the United Nations General Assembly_9E2E39672B27779,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,United Nations peacekeeping_9E2E39672B27779,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,International Court of Justice_3FB998DBB0AC95A5,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,International Court of Justice_DD22B6F6B43C7B6,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,List of specialized agencies of the United Nations_D579CFACCA7DB40E,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Universal Declaration of Human Rights_DD22B6F6B43C7B6,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,San Diego State Aztecs men's basketball_F2A16D2B4B9D1D89,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,United Nations Partition Plan for Palestine_9E2E39672B27779,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,United Nations Security Council veto power_757D9C85B4419CA,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Office of the United Nations High Commissioner for Human Rights_AD5C1E3BEA3F9ABF,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,International Labour Organization_965A477985488D76,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Silent Sentinels_D00C9C3CC6FA0546,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,List of political parties in Australia_C3A43F724F2BF537,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,National Woman's Party_D00C9C3CC6FA0546,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Equal Rights Amendment_315F7076A76CE9B8,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,Switzerland_AD5C1E3BEA3F9ABF,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
who founded the women's social and political union,UNESCO_AD5C1E3BEA3F9ABF,Women's Social and Political Union_9B6E4DE82B69520,Emmeline Pankhurst; Christabel Pankhurst
