query,top tables,target table,target answer
who won the 2015 great british baking show,The Great American Baking Show_801F2659BE1AF206,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The American Baking Competition_E20DF9F7D15CD6A2,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great Canadian Baking Show_F66139FD46D78F2E,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great Canadian Baking Show_1BB2D650E5BAD0D0,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great British Bake Off (series 6)_9C4770F48BEFD217,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great British Bake Off_44341BF4490BDB21,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great British Bake Off (series 4)_44341BF4490BDB21,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great British Bake Off (series 7)_44341BF4490BDB21,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great British Bake Off_E313BAFF9C5FB7DD,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great American Baking Show_BF03BDE502543C6B,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great British Bake Off_D4ADFF5AFCFB359B,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great British Bake Off_7D38DE125E675F59,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great American Baking Show_E90F819A6AD4E4A,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great British Bake Off_3CE6D1086167DE83,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great British Bake Off_A83E3C4B50312DBE,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great American Baking Show_BECACEB7EA2D90BD,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The American Baking Competition_C59FA3BFF9D55AD5,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great American Baking Show_AB033DFF0FB562B6,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great British Bake Off_868462E75B613EB1,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great Canadian Baking Show_5633B717C0C49DDF,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great British Bake Off_A346C62994E656A9,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great Canadian Baking Show_F2C43A4997437639,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great British Bake Off_FC75D2136991673B,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,Doctor Who (series 1)_7D64F55713A3A165,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great Food Truck Race_F659EB6B479A6AC0,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great Canadian Baking Show_83A119131A68F8BF,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great British Bake Off (series 8)_14447301BB5DE29A,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,Holiday Baking Championship_F659EB6B479A6AC0,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great British Bake Off_A4FCAAF34968228,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,Spring Baking Championship_31CE577F99F61EA2,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,List of awards and nominations received by One Direction_498FF2346BA8410A,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,World number 1 ranked male tennis players_86EDB7ED4548959F,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,Korean television dramas in the Philippines_323926B128AE19FC,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,The Great Pottery Throw Down_9825625791726EE0,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
who won the 2015 great british baking show,George II of Great Britain_73FBF5BE0B0C53EA,The Great British Bake Off_CE95ADE4AEED8BEB,Nadiya Hussain
